World Series,National League,Wins,American League,Wins
6 Game Series,[0 - 7 in Series Play],,[16 - 4 in Series Play],
1954 World Series,New York Giants,4,Cleveland Indians,0
4 Game Series,[5 - 9 in Series Play],,[2 - 1 in Series Play],
1955 World Series,Brooklyn Dodgers,4,New York Yankees,3
7 Game Series,[1 - 7 in Series Play],,[16 - 5 in Series Play],
1956 World Series,Brooklyn Dodgers,3,New York Yankees,4
7 Game Series,[1 - 8 in Series Play],,[17 - 5 in Series Play],
1957 World Series,Milwaukee Braves,4,New York Yankees,3
7 Game Series,[2 - 1 in Series Play],,[17 - 6 in Series Play],
1958 World Series,Milwaukee Braves,3,New York Yankees,4
7 Game Series,[2 - 2 in Series Play],,[18 - 6 in Series Play],
1959 World Series,Los Angeles Dodgers,4,Chicago White Sox,2
6 Game Series,[2 - 8 in Series Play],,[2 - 2 in Series Play],
1960 World Series,Pittsburgh Pirates,4,New York Yankees,3
7 Game Series,[3 - 2 in Series Play],,[18 - 7 in Series Play],
1961 World Series,Cincinnati Reds,1,New York Yankees,4
5 Game Series,[2 - 2 in Series Play],,[19 - 7 in Series Play],
1962 World Series,San Francisco Giants,3,New York Yankees,4
7 Game Series,[5 - 10 in Series Play],,[20 - 7 in Series Play],
1963 World Series,Los Angeles Dodgers,4,New York Yankees,0
4 Game Series,[3 - 8 in Series Play],,[20 - 8 in Series Play],
1964 World Series,St. Louis Cardinals,4,New York Yankees,3
7 Game Series,[7 - 3 in Series Play],,[20 - 9 in Series Play],
1965 World Series,Los Angeles Dodgers,4,Minnesota Twins,3
7 Game Series,[4 - 8 in Series Play],,[1 - 3 in Series Play],
1966 World Series,Los Angeles Dodgers,0,Baltimore Orioles,4
4 Game Series,[4 - 9 in Series Play],,[1 - 1 in Series Play],
1967 World Series,St. Louis Cardinals,4,Boston Red Sox,3
7 Game Series,[8 - 3 in Series Play],,[5 - 2 in Series Play],
1968 World Series,St. Louis Cardinals,3,Detroit Tigers,4
  7 Game Series,[8 - 4 in Series Play],,[3 - 5 in Series Play],
1969 World Series,New York Mets,4,Baltimore Orioles,1
5 Game Series,[1 - 0 in Series Play],,[1 - 2 in Series Play],
1970 World Series,Cincinnati Reds,1,Baltimore Orioles,4
5 Game Series,[2 - 3 in Series Play],,[2 - 2 in Series Play],
1971 World Series,Pittsburgh Pirates,4,Baltimore Orioles,3
  7 Game Series,[4 - 2 in Series Play],,[2 - 3 in Series Play],
1972 World Series,Cincinnati Reds,3,Oakland Athletics,4
  7 Game Series,[2 - 4 in Series Play],,[6 - 3 in Series Play],
1973 World Series,New York Mets,3,Oakland Athletics,4
7 Game Series,[1 - 1 in Series Play],,[7 - 3 in Series Play],
1974 World Series,Los Angeles Dodgers,1,Oakland Athletics,4
5 Game Series,[4 - 10 in Series Play],,[8 - 3 in Series Play],
1975 World Series,Cincinnati Reds,4,Boston Red Sox,3
  7 Game Series,[3 - 4 in Series Play],,[5 - 3 in Series Play],
1976 World Series,Cincinnati Reds,4,New York Yankees,0
4 Game Series,[4 - 4 in Series Play],,[20 - 10 in Series Play],
1977 World Series,Los Angeles Dodgers,2,New York Yankees,4
  6 Game Series,[4 - 11 in Series Play],,[21 - 10 in Series Play],
1978 World Series,Los Angeles Dodgers,2,New York Yankees,4
6 Game Series,[4 - 12 in Series Play],,[22 - 10 in Series Play],
1979 World Series,Pittsburgh Pirates,4,Baltimore Orioles,3
7 Game Series,[5 - 2 in Series Play],,[2 - 4 in Series Play],
1980 World Series,Philadelphia Phillies,4,Kansas City Royals,2
6 Game Series,[1 - 2 in Series Play],,[0 - 1 in Series Play],
1981 World Series,Los Angeles Dodgers,4,New York Yankees,2
6 Game Series,[5 - 12 in Series Play],,[22 - 11 in Series Play],
1982 World Series,St. Louis Cardinals,4,Milwaukee Brewers,3
7 Game Series,[9 - 4 in Series Play],,[0 - 1 in Series Play],
1983 World Series,Philadelphia Phillies,1,Baltimore Orioles,4
5 Game Series,[1 - 3 in Series Play],,[3 - 4 in Series Play],
1984 World Series,San Diego Padres,1,Detroit Tigers,4
5 Game Series,[0 - 1 in Series Play],,[4 - 5 in Series Play],
1985 World Series,St. Louis Cardinals,3,Kansas City Royals,4
  7 Game Series,[9 - 5 in Series Play],,[1 - 1 in Series Play],
1986 World Series,New York Mets,4,Boston Red Sox,3
  7 Game Series,[2 - 1 in Series Play],,[5 - 4 in Series Play],
1987 World Series,St. Louis Cardinals,3,Minnesota Twins,4
7 Game Series,[9 - 6 in Series Play],,[2 - 3 in Series Play],
1988 World Series,Los Angeles Dodgers,4,Oakland Athletics,1
5 Game Series,[6 - 12 in Series Play],,[8 - 4 in Series Play],
1989 World Series,San Francisco Giants,0,Oakland Athletics,4
4 Game Series,[5 - 11 in Series Play],,[9 - 4 in Series Play],
1990 World Series,Cincinnati Reds,4,Oakland Athletics,0
